main_category_code,main_category,sub_category_code,sub_category
01,国土・気象,01,国土
01,国土・気象,02,気象
02,人口・世帯,01,人口
02,人口・世帯,02,世帯
02,人口・世帯,03,人口動態
02,人口・世帯,04,人口移動
03,労働・賃金,01,労働力
03,労働・賃金,02,賃金・労働条件
03,労働・賃金,03,雇用
03,労働・賃金,04,労使関係
03,労働・賃金,05,労働災害
04,農林水産業,01,農業
04,農林水産業,02,畜産業
04,農林水産業,03,林業
04,農林水産業,04,水産業
05,鉱工業,01,鉱業
05,鉱工業,02,製造業
06,商業・サービス業,01,商業
06,商業・サービス業,02,需給流通
06,商業・サービス業,03,サービス業
07,企業・家計・経済,01,企業活動
07,企業・家計・経済,02,金融・保険・通貨
07,企業・家計・経済,03,物価
07,企業・家計・経済,04,家計
07,企業・家計・経済,05,国民経済計算
07,企業・家計・経済,06,景気
08,住宅・土地・建設,01,住宅・土地
08,住宅・土地・建設,02,建設
09,エネルギー・水,01,電気
09,エネルギー・水,02,ガス
09,エネルギー・水,03,エネルギー需給
09,エネルギー・水,04,水
10,運輸・観光,01,運輸
10,運輸・観光,02,倉庫
10,運輸・観光,03,観光
11,情報通信・科学技術,01,情報通信・放送
11,情報通信・科学技術,02,科学技術
11,情報通信・科学技術,03,知的財産
12,教育・文化・スポーツ・生活,01,学校教育
12,教育・文化・スポーツ・生活,02,社会教育
12,教育・文化・スポーツ・生活,03,文化・スポーツ・生活
13,行財政,01,行政
13,行財政,02,財政
13,行財政,03,公務員
13,行財政,04,選挙
14,司法・安全・環境,01,司法
14,司法・安全・環境,02,犯罪
14,司法・安全・環境,03,災害
14,司法・安全・環境,04,事故
14,司法・安全・環境,05,環境
15,社会保障・衛生,01,社会保障
15,社会保障・衛生,02,社会保険
15,社会保障・衛生,03,社会福祉
15,社会保障・衛生,04,保健衛生
15,社会保障・衛生,05,医療
16,国際,01,貿易・国際収支
16,国際,02,国際協力
99,その他,99,その他
